main_category_name,sub_category_name,ranking,title,ori_price,dis_price,discount_percent
컴퓨터/전자,ALL,17,[통돌이]LG 통돌이 TR12BL 일반세탁기 12kg 스마트 인버터모터,374000,374000,7
컴퓨터/전자,ALL,18,(현대Hmall)위닉스 20년형 제습기 10리터 DXAE100-JWK,215000,215000,1
컴퓨터/전자,ALL,19,[대우]대우 에어 써큘레이터DEF-KC1020스탠드선풍기 공기순환,33900,33900,2
컴퓨터/전자,ALL,20,[삼성전자]SM-R175 갤럭시버즈 플러스 블루투스이어폰 AKG 튜닝 L,136900,136900,0
컴퓨터/전자,ALL,21,[비달사순]비달사순 2000W 전문가용 헤어드라이기 VSD5129K,20900,20900,0
컴퓨터/전자,ALL,22,[삼성전자]삼성외장하드 인증점 J3 1TB 블랙 A/S 3년,71410,71410,4
e쿠폰/티켓,ALL,45,[GS수퍼마켓](GS수퍼마켓)금액상품권3만원,28350,28350,5
e쿠폰/티켓,ALL,46,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드)(PIN발송) 온라인상품권 5만원,48500,48500,3
e쿠폰/티켓,ALL,47,[아웃백스테이크하우스]아웃백 디지털 5만원권,46450,46450,7
e쿠폰/티켓,ALL,48,[컬쳐랜드문화상품권](편의점통합) 모바일금액권 1만원/ 캐쉬충전불가,9500,9500,5
e쿠폰/티켓,ALL,49,[T데이터쿠폰](SK텔레콤) T데이터쿠폰 2GB,14250,14250,25
e쿠폰/티켓,ALL,50,[구글플레이](카드가능) 기프트코드 15만원 / 구글 기프트카드,145500,145500,3
e쿠폰/티켓,ALL,51,[배스킨라빈스](배스킨라빈스) 달콤 퐁퐁 플라워,25000,25000,0
e쿠폰/티켓,ALL,52,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권1만원권(ID바로충전),9700,9700,3
e쿠폰/티켓,ALL,53,[배스킨라빈스](배스킨라빈스) 모바일 3만원권,30000,30000,0
e쿠폰/티켓,ALL,54,[쿠우쿠우](쿠우쿠우) 기프티카드 5만원권,50000,50000,0
e쿠폰/티켓,ALL,55,즉시발송 일본 구글플레이 기프트카드 10000엔,108000,108000,0
e쿠폰/티켓,ALL,56,[쿠우쿠우](쿠우쿠우) 기프티카드 3만원권,30000,30000,0
e쿠폰/티켓,ALL,57,[CU](CU) 모바일금액권 3만원/ 실시간발송,28500,28500,5
가구/침구,ALL,1,국산 630g 르미에 라지자캔들 아로마향초 캔들워머,9900,9900,0
식품,ALL,15,[삼립]삼립 정통밤만쥬 23gx50입,6900,6900,40
식품,ALL,16,[코카콜라]코크제로 1.5PET X12  1박스,28900,28900,0
식품,ALL,17,[GFresh](국산) 마녀 포기김치10kg / 배추김치,29900,29900,33
식품,ALL,18,유귀열 유귀열의 The귀한 도가니탕 600g x10팩 +1팩,56260,56260,7
식품,ALL,19,꽃보다 오징어 대용량 260g+260g 外,30900,30900,0
식품,ALL,20,[미닛메이드]미닛메이드 스파클링 청포도 (10칼로리) 350ml x 48입,25000,25000,24
식품,ALL,21,[사보텐(식품)] [사보텐] 등심돈카츠 8개+치즈돈카츠 2개+소스 2개 증정,35010,35010,10
식품,ALL,22,[아침농산]국산 농부의아침 쌀10kg  백미 2019년산 햅쌀,24500,24500,40
여행,ALL,13,|최대10만원할인|오크밸리리조트(강원 호텔/원주/영월/태백),110450,110450,1
여행,ALL,14,(공식판매처) 에버랜드 종일/오후/나이트권(~8/31),22900,22900,50
여행,ALL,15,(당일사용불가)워터락/ 전남 나주 중흥골드스파 이용권(7/25~8/17) /워터파크/스파/찜질방,41900,41900,23
여행,ALL,16,|강원 정선군| 하이원리조트(하이원/강원랜드/하이원호텔/하이원콘도/스키장/카지노/정선/카지노),88600,88600,1
여행,ALL,17,(문자발송/당일사용가능)골드시즌 이천테르메덴 입장권(20.07.25 ~ 20.08.16),25000,25000,16
여행,ALL,18,전국  꼬마버스 타요 키즈카페 이용권 (문자티켓),10000,10000,33
여행,ALL,19,|강원 원주시| 오크밸리리조트(오크밸리/강원도원주오크밸리/원주 오크밸리/한솔오크벨리/오크벨리리조트),93120,93120,3
여행,ALL,20,(7월 1일부터 사용가능)롯데월드 패밀리(성인+어린이),49000,49000,41
여행,ALL,21,[최대10만원할인]오크밸리리조트(강원도/문막/원주/스키장),89000,89000,0
여행,ALL,22,(이용1시간전구매) 전국 챔피언키즈카페 47개점(키즈카페/키즈체험/유아체험/키즈/놀이/키즈파크),13500,13500,0
여행,ALL,23,(7월 1일부터 사용)롯데월드 종일자유이용권+헤어밴드,38500,38500,0
여행,ALL,24,|강원 속초시| 현대수리조트 속초(강원도콘도/강원도 콘도/강원콘도/강원 콘도/현대수/속초콘도),49330,49330,2
컴퓨터/전자,ALL,23,[애플][국내정품] 애플 에어팟 프로 무선 충전 MWP22KH/A,282600,282600,10
컴퓨터/전자,ALL,24,[로지텍]로지텍G G102 2세대 LIGHTSYNC 마우스 벌크 병행,21130,21130,1
컴퓨터/전자,ALL,25,펭수 피규어 스틱형 보조배터리 5000mAh 기본형,29900,29900,0
컴퓨터/전자,ALL,26,[삼성전자]SM-R175 갤럭시버즈 플러스 블루투스이어폰 AKG 튜닝,124900,124900,3
컴퓨터/전자,ALL,27,[브라운]브라운전기면도기 시리즈9 9395cc +선착순,309000,309000,16
컴퓨터/전자,ALL,28,[롯데 이라이프]Le-1723mw전자레인지23L 900W/블랙 미러 가정용_,79800,79800,5
컴퓨터/전자,ALL,29,[유닉스]메탈티 무광블랙 1600W 헤어 드라이기 UN-A1610 접이식,22900,22900,4
컴퓨터/전자,ALL,30,[삼성전자]공식파트너)삼성 세라믹 전자레인지 MS23K3513AK,95000,95000,15
컴퓨터/전자,ALL,31,로지텍 G304 무선 게이밍 마우스 병행 밀봉박스새상품,44500,44500,0
컴퓨터/전자,ALL,32,[일렉트로룩스]파워프로 18V 무선청소기 ZB3423BO + 필터 사은품,253440,253440,1
컴퓨터/전자,ALL,33,[삼성전자]인증점 삼성 진공 청소기 VC33M2110LP  당일출고,82900,82900,8
컴퓨터/전자,ALL,34,샤오미 미밴드4 한글판 정품,30780,30780,0
스포츠/자동차,ALL,1,[푸마]홈쇼핑 특가 푸마 의류 상하의 단품/세트 모음,9900,9900,70
e쿠폰/티켓,ALL,58,[설빙](설빙) 디지털 3만원권,28500,28500,5
e쿠폰/티켓,ALL,59,[GS25](스마일클럽) GS25 농심 육개장큰사발,860,860,25
e쿠폰/티켓,ALL,60,[메가박스]메가박스 영화 예매 (옵션가 장난X),7000,7000,0
e쿠폰/티켓,ALL,61,[GS25](스마일클럽) 유어스(P)뉴공화춘자장(용기),1200,1200,25
e쿠폰/티켓,ALL,62,재팬머니 - 일본 아이튠즈 카드 10000엔 (앱스토어OK),107000,107000,0
e쿠폰/티켓,ALL,63,[CU](CU) 모바일금액권 1만원/ 실시간발송,9500,9500,5
e쿠폰/티켓,ALL,64,구글기프트카드 5만원 핀번호 실시간발송,48500,48500,0
e쿠폰/티켓,ALL,65,[배스킨라빈스](배스킨라빈스) 듀얼와츄원 NO.9,30000,30000,0
e쿠폰/티켓,ALL,66,[메가커피](메가커피) 2만원권,18200,18200,9
e쿠폰/티켓,ALL,67,[배스킨라빈스]배스킨라빈스 골라 먹는 와츄원,26000,26000,0
생활/주방/건강,ALL,1,[깨끗한나라]순수브라운 3겹 화장지 27m 30롤 2팩 (특가),23600,23600,66
도서/음반,ALL,1,(정품) Scholastic 스콜라스틱 에브리데이 북박스 Everyday book box 123 풀세트,315000,315000,50
가구/침구,ALL,2,[아이르]국내산 시원한 시어서커 여름 홑겹이불 행사 특가,9900,9900,70
가구/침구,ALL,3,[르헤브]시원한 여름 쇼파패드/시어서커/사계절 쇼파패드/순면,10900,10900,69
가구/침구,ALL,4,[쁘리엘르]삼각등쿠션 바디필로우 인테리어 쿠션 커버 솜포함,13900,13900,69
가구/침구,ALL,5,시원한 시어서커 패드 카페트 여름패드 침대패드,12900,12900,70
가구/침구,ALL,6,[에이블루]커블체어 와이더 20년형 자세교정의자 출시,53820,53820,10
가구/침구,ALL,7,[이블랑]시어서커 쿨 토퍼 /클라우드 워싱 토퍼,32580,32580,0
가구/침구,ALL,8,국산 순면 두툼한 누빔 매트리스커버/침대/매트/커버,12900,12900,66
가구/침구,ALL,9,[우드윅]더스윗캔들워머+양키캔들or우드윅/전구2개/디퓨저향초,31900,31900,46
식품,ALL,23,제주안심밥상 양돈농협 제주흑돼지 불고기 300g 1+1+1,4900,4900,50
식품,ALL,24,[바라던]부드러운 구이용 부채살 200g 6팩 /미국산,19900,19900,40
식품,ALL,25,eTV 스팸클래식 340gX10캔,34900,34900,0
식품,ALL,26,[비첸향]미니이지 포크 500G  예약상품 2020.08.06 부터 발송,40020,40020,8
식품,ALL,27,[매일유업]아몬드브리즈 오리지널 두유 190ml 48팩+방수백증정,27900,27900,6
식품,ALL,28,[스타벅스]스타벅스 컵커피 카페라떼 200mlx20개+아이스포장,30900,30900,0
식품,ALL,29,[모닝하임]고기산적 1kg+1kg,12900,12900,0
식품,ALL,30,맥심 카누마일드 미니 100T+20 x2개입 총240T,34900,34900,22
식품,ALL,31,CJ제일제당 포도씨유 900ml x 4개,17520,17520,20
식품,ALL,32,(행사상품)N 동서식품_맥심모카골드믹스_230T 2760G ,21900,21900,0
화장품/헤어,ALL,1,[조성아뷰티]원더바스 16브랜드 조성아 메이크업 빅 썸머세일~,19900,19900,63
여행,ALL,25,|최대10만원할인|세인트존스 호텔 (강원/강릉/경포대/강릉호텔)(강원 호텔/강릉/속초/경포,86240,86240,2
여행,ALL,26,(구매후1시간후사용)대구아쿠아리움 입장권 7월~,20000,20000,0
여행,ALL,27,"|최대 10만원 할인||충북 리조트| 소노문단양(구단양대명리조트) (제천,진천,음성,단양)",78000,78000,0
여행,ALL,28,"|최대 10만원 할인||강원 호텔| 양양 더앤리조트 호텔&스파 (속초,양양,고성)",132000,132000,0
여행,ALL,29,|강원 횡성군| 웰리힐리파크(현대성우/스키장/강원횡성/횡성/강원도여행/웰리힐리/현대성우콘도/횡성스키),57000,57000,2
여행,ALL,30,덕산 스플라스리솜 워터파크/구 스파캐슬(7/25~8/16),26440,26440,0
여행,ALL,31,(문자 발송)경주 뽀로로아쿠아빌리지 입장권(7/10~8/23)/워터파크/스파/경주아쿠아/뽀로로,27300,27300,35
여행,ALL,32,부산 캐니언파크 문현점/ 부산 실내동물원/애니멀테마파크/부산가볼만한곳/카드,11900,11900,0
여행,ALL,33,(이용1시간전구매) 통영 스카이라인 루지 (루지/통영루지/통영놀곳/통영가볼만한곳/경남여행/통영케이블카),30600,30600,10
여행,ALL,34,부산아쿠아리움 패밀리권 (3인 OR 5인),54000,54000,0
컴퓨터/전자,ALL,35,[신일전자]신일 기본형 선풍기 SIF-12PNX,43900,43900,6
컴퓨터/전자,ALL,36,본사직영) CRP-CHP1010FD 쿠쿠 10인용 IH전기압력밥솥,323210,323210,4
컴퓨터/전자,ALL,37,[위니아](공식) 위니아 제습기 EDH18DDE 20년형(18리터),289000,289000,8
컴퓨터/전자,ALL,38,[LG전자]LG 듀얼 인버터 제습기 DQ200PSAA /20L,599000,599000,0
컴퓨터/전자,ALL,39,[에브리봇]물걸레 로봇청소기 Edge 강력한 물걸레 청소,264000,264000,19
컴퓨터/전자,ALL,40,샤오미 스마트 자동 유리창 창문 로봇 청소기 닦이,136900,136900,17
컴퓨터/전자,ALL,41,[샤오미]1+1 샤오미 SOLOVE 전기 모기채P1 /그레이,23800,23800,0
컴퓨터/전자,ALL,42,[샤오미]미 TV 스틱/1080P/한국어 지원/ 글로벌버전/블랙,39900,39900,13
컴퓨터/전자,ALL,43,[삼성전자]갤럭시버즈 플러스 완전무선 블루투스 이어폰 SM-R175,124900,124900,3
컴퓨터/전자,ALL,44,아웃핏터 플러스/의류관리기/건조기/다리미 세탁소기계,93900,93900,5
스포츠/자동차,ALL,2,[아디다스](신세계마산점)[MENS RUNNING]  런닝화/슬라이드/샌들 (FZ0388 FZ0387 FX3626 FX3627 FW3246 EE4169 EH3...,38180,38180,22
스포츠/자동차,ALL,3,[프로스펙스]오리지널 남성여성 워킹화 디스트릭 901 902 903,29160,29160,19
스포츠/자동차,ALL,4,엠리밋 남여 데일리 반팔티셔츠 1+1 초특가찬스,9900,9900,70
스포츠/자동차,ALL,5,[MLB]학생 슬리퍼/샌들/슬리퍼/남아샌들/남아슬리퍼/실내화,15900,15900,65
스포츠/자동차,ALL,6,[네파](신세계강남점)[네파]역시즌 여성 구스 다운 (엘라스티코/베타)2종 7F82042/7F82013,95200,95200,20
스포츠/자동차,ALL,7,[아디다스](신세계마산점)[UNISEX] 샌들/러닝화/스니커즈 (EG6514 EG6515 F35416 F35417 EF1387 EF1390 EF1389 EE9...,28830,28830,22
스포츠/자동차,ALL,8,나이키 아시안핏 레전드 티셔츠/아디다스 반팔반바지,16900,16900,65
스포츠/자동차,ALL,9,[BUFFALO]버팔로 올뉴 성형 구명조끼 남녀공용 물놀이용품,18900,18900,69
스포츠/자동차,ALL,10,[리복]리복본사DMX 시리즈 2200 /EF7727,55300,55300,0
스포츠/자동차,ALL,11,[웨스트우드]웨스트우드 여름 티셔츠/팬츠/자켓 시즌오프 세일전,13900,13900,64
스포츠/자동차,ALL,12,[미즈노]미즈노 역시즌 남여 맨투맨 후드집업 트레이닝바지,17800,17800,69
스포츠/자동차,ALL,13,[나이키][나이키] 얼리썸머 나이키반팔 모음,19900,19900,0
스포츠/자동차,ALL,14,[아디다스]나이키 아디다스外 인기 반팔티 반바지 단체복 모음,10500,10500,70
e쿠폰/티켓,ALL,68,[파리바게뜨](파리바게뜨) 마이넘버원3,27000,27000,0
e쿠폰/티켓,ALL,69,[메가커피](메가커피) 1만원권,9100,9100,9
e쿠폰/티켓,ALL,70,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 온라인문화상품권 1천원권,1000,1000,0
e쿠폰/티켓,ALL,71,[세븐일레븐](세븐일레븐) 모바일상품권 1만원권,10000,10000,0
e쿠폰/티켓,ALL,72,[올레KT](KT) LTE 데이터쿠폰 5GB,30690,30690,7
e쿠폰/티켓,ALL,73,[투썸플레이스](투썸플레이스) 스트로베리 초콜릿 생크림,31430,31430,7
e쿠폰/티켓,ALL,74,[신라호텔]서울신라호텔 더 파크뷰 상품권(1인식사권),111000,111000,0
e쿠폰/티켓,ALL,75,[빕스](빕스) Pays 외식/카페 결합 금액권 10만원권,92000,92000,8
e쿠폰/티켓,ALL,76,[스타벅스](스타벅스) 아이스 카페아메리카노 Tall,4100,4100,0
e쿠폰/티켓,ALL,77,[배스킨라빈스]배스킨라빈스 이상한 나라의 솜사탕 케이크,25000,25000,0
e쿠폰/티켓,ALL,78,구글기프트카드 3만원 핀번호 실시간발송,29400,29400,0
e쿠폰/티켓,ALL,79,구글기프트카드 1만원 핀번호 실시간발송,9800,9800,0
e쿠폰/티켓,ALL,80,[맥도날드]맥도날드 디지털 2만원권,19200,19200,4
생활/주방/건강,ALL,2,극세사 클린 청소 슬리퍼 1+1 외 상시특가 50종,10000,10000,1
생활/주방/건강,ALL,3,KF94 4중필터 마스크 50매 (개당 798원 특가) 개별포장,39910,39910,8
생활/주방/건강,ALL,4,[하비비]청개구리 자동 변기 클리너 세정제 6개 (12개월분),23900,23900,0
생활/주방/건강,ALL,5,[깨끗한나라]순백블루 3겹 화장지 27m 30롤 x 3팩(특가),28600,28600,61
생활/주방/건강,ALL,6,(식약처인증) 국산 비말 차단 KF-AD 마스크 50매 KFAD,36900,36900,0
생활/주방/건강,ALL,7,한예지 볼륨앤소프트 천연펄프 3겹  화장지 30롤 3팩,21900,21900,66
생활/주방/건강,ALL,8,국산 630g 르미에 라지자캔들 아로마향초 캔들워머,9900,9900,0
생활/주방/건강,ALL,9,[브리타]막스트라 플러스 필터 3개월분 +1개월분 (총 4개월분),23000,23000,9
생활/주방/건강,ALL,10,[락앤락]프레쉬 롤백 200매x2개 총400매 위생장갑 지퍼백 할인,6960,6960,56
생활/주방/건강,ALL,11,[에코후레쉬]세탁조클리너 100g x 9개_곰팡이세균 99.9% 제거,10000,10000,66
생활/주방/건강,ALL,12,[다샵]국산 일회용 마스크 화이트 50매,14500,14500,18
도서/음반,ALL,2,도형학습지 플라토 단계별 세트 선택구매 (전4권),24000,24000,50
도서/음반,ALL,3,(북멘토)수상한 시리즈 전7권(수상한 아파트+우리반+학원+친구집+식당+편의점+도서관),71500,71500,7
도서/음반,ALL,4,픽토리 영어동화 낱권 골라담기 (107종),9100,9100,30
도서/음반,ALL,5,오즈시앤지 렛츠고 한국사 특별판 (1+2+3 합본),49800,49800,49
도서/음반,ALL,6,(예약판매/8월20일발송)큰별 쌤 최태성의 한국사 수호대 전7권,71000,71000,7
도서/음반,ALL,7,씨투엠에듀 플라토주머니 평면도형/입체도형 교구  선택구매,42200,42200,36
도서/음반,ALL,8,어스본 초등학생이 알아야 할 100가지 세트 (전11종),149000,149000,9
도서/음반,ALL,9,수능까지 이어지는 초등 고학년 수학 대수 개념편심화편테크닉 선택(개정판),55900,55900,33
도서/음반,ALL,10,미래주니어 하루10분 따라쓰기 시리즈 19종 선택구매/맞춤법/속담/고사성어외,5900,5900,0
도서/음반,ALL,11,[길벗스쿨]길벗스쿨 기적의 역사논술 (전5권),55000,55000,9
도서/음반,ALL,12,세이펜과 떠나는 한국 세계여행 회전지도(세이펜별매),23410,23410,0
도서/음반,ALL,13,우리 아이 첫 감정 연습 세트(전10권): 생활 속 10가지 감정(재정가세트),96000,96000,20
도서/음반,ALL,14,[아이챌린지]세 마리 토끼 잡는 독서 논술 P단계 세트 5권 / 독서 논술 A단계 세트 5권 선택구매,52500,52500,6
도서/음반,ALL,15,very 얼리챕터북 Jack/Starters/My Weird School 선택,45000,45000,68
